64	84
51	84
51	64
64	84
13	64
13	84
13	64
13	51
51	64
51	84
13	51
13	84
14	30
26	30
14	26
165	180
121	180
121	165
214	251
251	270
214	270
27	30
27	198
30	198
27	37
27	30
30	37
26	76
26	27
27	76
26	27
26	30
27	30
26	30
30	186
26	186
121	165
33	121
33	165
186	201
30	186
30	201
186	200
30	200
30	186
30	200
30	97
97	200
96	199
30	96
30	199
30	96
30	97
96	97
5	22
5	35
22	35
5	35
15	35
5	15
5	35
28	35
5	28
5	22
15	22
5	15
22	35
15	35
15	22
15	35
15	93
35	93
165	180
63	165
63	180
165	180
65	180
65	165
66	165
65	66
65	165
66	165
121	165
66	121
37	180
63	180
37	63
165	180
37	165
37	180
37	165
63	165
37	63
66	165
37	165
37	66
165	180
44	180
44	165
66	165
44	66
44	165
15	35
2	15
2	35
56	121
2	56
2	121
37	180
2	37
2	180
37	66
2	66
2	37
